# All infantry equipment

equipments = {

	###HALBERDS###

	halberd = {
		year = 1500
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype

		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 2

		#Defensive Abilities
		defense = 1.5
		breakthrough = 1
		armor_value = 2

		#Offensive Abilities
		soft_attack = 2
		hard_attack = 1
		ap_attack = 1
		air_attack = 0
		
		#Space taken in convoy
		lend_lease_cost = 1

		resources = {
			steel = 1
		}

		build_cost_ic = 0.50
	}

	medieval_halberd = {
		year = 1500
	
		archetype = halberd
		active = yes
		priority = 10
		visual_level = 0
	}

	early_renaissance_halberd = {
		year = 1500
	
		archetype = halberd
		parent = medieval_halberd
		priority = 10
		visual_level = 2
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 2.5

		#Defensive Abilities
		defense = 3
		breakthrough = 4
		armor_value = 3

		#Offensive Abilities
		soft_attack = 4
		hard_attack = 5.5
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
	}

	late_renaissance_halberd = {
		year = 1500
	
		archetype = halberd
		parent = early_renaissance_halberd
		priority = 10
		visual_level = 3
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 3

		#Defensive Abilities
		defense = 4.5
		breakthrough = 6
		armor_value = 4

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 6
		ap_attack = 5
		air_attack = 0

		build_cost_ic = 0.50
	}
}
